question_id,system,source,horizon_bucket,outcome,probability,brier,log_score,gate_decision,historical_analog_available
afeef9ddc9b6c6d1773d7a0a0ba5bc1df5a1ceb0a01ff1b2995082894c463896::2025-11-02,aia_baseline,acled,near,0,0.32957122034888203,0.10861718928225135,0.39983780166182686,none,False
afeef9ddc9b6c6d1773d7a0a0ba5bc1df5a1ceb0a01ff1b2995082894c463896::2025-11-02,evidence_graph_v1,acled,near,0,0.04389124548579748,0.0019264414302945377,0.04488361244881374,none,False
afeef9ddc9b6c6d1773d7a0a0ba5bc1df5a1ceb0a01ff1b2995082894c463896::2025-11-02,historical_analog,acled,near,0,0.0635,0.00403225,0.06560575709799385,none,False
afeef9ddc9b6c6d1773d7a0a0ba5bc1df5a1ceb0a01ff1b2995082894c463896::2025-11-02,historical_evidence_blend,acled,near,0,0.04389124548579748,0.0019264414302945377,0.04488361244881374,none,False
afeef9ddc9b6c6d1773d7a0a0ba5bc1df5a1ceb0a01ff1b2995082894c463896::2025-11-02,search_llm_loop,acled,near,0,0.03997370060340632,0.0015978967399307667,0.04079459969071182,none,False
afeef9ddc9b6c6d1773d7a0a0ba5bc1df5a1ceb0a01ff1b2995082894c463896::2025-11-02,hybrid_analog_search,acled,near,0,0.03997370060340632,0.0015978967399307667,0.04079459969071182,search_fallback,False
24f48970b33655db3ef398f3f7e2b1312ff8f6a15ee8215caedefc18968d77ee::2025-11-02,aia_baseline,acled,near,0,0.34003292415969183,0.11562238951259074,0.4155653302964104,none,False
24f48970b33655db3ef398f3f7e2b1312ff8f6a15ee8215caedefc18968d77ee::2025-11-02,evidence_graph_v1,acled,near,0,0.0728447690944026,0.005306360384416832,0.07563427230523292,none,False
24f48970b33655db3ef398f3f7e2b1312ff8f6a15ee8215caedefc18968d77ee::2025-11-02,historical_analog,acled,near,0,0.10200000000000001,0.010404000000000002,0.10758521067993743,none,False
24f48970b33655db3ef398f3f7e2b1312ff8f6a15ee8215caedefc18968d77ee::2025-11-02,historical_evidence_blend,acled,near,0,0.0728447690944026,0.005306360384416832,0.07563427230523292,none,False
24f48970b33655db3ef398f3f7e2b1312ff8f6a15ee8215caedefc18968d77ee::2025-11-02,search_llm_loop,acled,near,0,0.06538466697730466,0.004275154675733034,0.06762024287703511,none,False
24f48970b33655db3ef398f3f7e2b1312ff8f6a15ee8215caedefc18968d77ee::2025-11-02,hybrid_analog_search,acled,near,0,0.06538466697730466,0.004275154675733034,0.06762024287703511,search_fallback,False
7ee56ae14ece59ac25093d2d9262dc5b932f27e656a790ac22388826e6e3a4b3::2025-11-02,aia_baseline,acled,near,0,0.32957122034888203,0.10861718928225135,0.39983780166182686,none,False
7ee56ae14ece59ac25093d2d9262dc5b932f27e656a790ac22388826e6e3a4b3::2025-11-02,evidence_graph_v1,acled,near,0,0.04389124548579748,0.0019264414302945377,0.04488361244881374,none,False
7ee56ae14ece59ac25093d2d9262dc5b932f27e656a790ac22388826e6e3a4b3::2025-11-02,historical_analog,acled,near,0,0.0635,0.00403225,0.06560575709799385,none,False
7ee56ae14ece59ac25093d2d9262dc5b932f27e656a790ac22388826e6e3a4b3::2025-11-02,historical_evidence_blend,acled,near,0,0.04389124548579748,0.0019264414302945377,0.04488361244881374,none,False
7ee56ae14ece59ac25093d2d9262dc5b932f27e656a790ac22388826e6e3a4b3::2025-11-02,search_llm_loop,acled,near,0,0.03997370060340632,0.0015978967399307667,0.04079459969071182,none,False
7ee56ae14ece59ac25093d2d9262dc5b932f27e656a790ac22388826e6e3a4b3::2025-11-02,hybrid_analog_search,acled,near,0,0.03997370060340632,0.0015978967399307667,0.04079459969071182,search_fallback,False
b6731f4873a909384d27d0ffdc950be2060df2966878f2b2edf8ab4d8fbae363::2025-11-02,aia_baseline,acled,near,0,0.32957122034888203,0.10861718928225135,0.39983780166182686,none,False
b6731f4873a909384d27d0ffdc950be2060df2966878f2b2edf8ab4d8fbae363::2025-11-02,evidence_graph_v1,acled,near,0,0.04389124548579748,0.0019264414302945377,0.04488361244881374,none,False
b6731f4873a909384d27d0ffdc950be2060df2966878f2b2edf8ab4d8fbae363::2025-11-02,historical_analog,acled,near,0,0.0635,0.00403225,0.06560575709799385,none,False
b6731f4873a909384d27d0ffdc950be2060df2966878f2b2edf8ab4d8fbae363::2025-11-02,historical_evidence_blend,acled,near,0,0.04389124548579748,0.0019264414302945377,0.04488361244881374,none,False
b6731f4873a909384d27d0ffdc950be2060df2966878f2b2edf8ab4d8fbae363::2025-11-02,search_llm_loop,acled,near,0,0.03997370060340632,0.0015978967399307667,0.04079459969071182,none,False
b6731f4873a909384d27d0ffdc950be2060df2966878f2b2edf8ab4d8fbae363::2025-11-02,hybrid_analog_search,acled,near,0,0.03997370060340632,0.0015978967399307667,0.04079459969071182,search_fallback,False
fc9f2a466cd4e1b13920afdcdf403d468f31124894ee70f56b95d420d84c5c66::2025-11-02,aia_baseline,acled,near,1,0.34003292415969183,0.43555654119320714,1.0787128302964104,none,False
fc9f2a466cd4e1b13920afdcdf403d468f31124894ee70f56b95d420d84c5c66::2025-11-02,evidence_graph_v1,acled,near,1,0.0728447690944026,0.8596168221956115,2.6194245527020183,none,False
fc9f2a466cd4e1b13920afdcdf403d468f31124894ee70f56b95d420d84c5c66::2025-11-02,historical_analog,acled,near,1,0.10200000000000001,0.806404,2.2827824656978657,none,False
fc9f2a466cd4e1b13920afdcdf403d468f31124894ee70f56b95d420d84c5c66::2025-11-02,historical_evidence_blend,acled,near,1,0.0728447690944026,0.8596168221956115,2.6194245527020183,none,False
fc9f2a466cd4e1b13920afdcdf403d468f31124894ee70f56b95d420d84c5c66::2025-11-02,search_llm_loop,acled,near,1,0.06538466697730466,0.8735058207211238,2.7274674978949633,none,False
fc9f2a466cd4e1b13920afdcdf403d468f31124894ee70f56b95d420d84c5c66::2025-11-02,hybrid_analog_search,acled,near,1,0.06538466697730466,0.8735058207211238,2.7274674978949633,search_fallback,False
a0d634ef1d2faff827cf4b6c0ad85e6c7defa785e0cfa1dd4651987baf269aa0::2025-11-02,aia_baseline,acled,near,0,0.34003292415969183,0.11562238951259074,0.4155653302964104,none,False
a0d634ef1d2faff827cf4b6c0ad85e6c7defa785e0cfa1dd4651987baf269aa0::2025-11-02,evidence_graph_v1,acled,near,0,0.0728447690944026,0.005306360384416832,0.07563427230523292,none,False
a0d634ef1d2faff827cf4b6c0ad85e6c7defa785e0cfa1dd4651987baf269aa0::2025-11-02,historical_analog,acled,near,0,0.10200000000000001,0.010404000000000002,0.10758521067993743,none,False
a0d634ef1d2faff827cf4b6c0ad85e6c7defa785e0cfa1dd4651987baf269aa0::2025-11-02,historical_evidence_blend,acled,near,0,0.0728447690944026,0.005306360384416832,0.07563427230523292,none,False
